ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2020,"2020","04000US25","Massachusetts",7895,692.3618995872029,0.3680508875591032,"Boston, MA","16000US2507000","boston-ma",69756,6183,8366,-5.629930671766674,71022,-1.7825462532736334,2.054705392463044
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2020,"2020","04000US25","Massachusetts",10623,950.9474223110341,0.726385115146646,"Boston, MA","16000US2507000","boston-ma",58321,13753,10444,1.7139027192646497,57943,0.652365255509725,2.764678326046221
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2019,"2019","04000US25","Massachusetts",44532,1265.8372723221576,1.1424636473979621,"Boston, MA","16000US2507000","boston-ma",170516,5529,40648,9.555205668175557,162526,4.9161364950838635,11.665592631595493
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2019,"2019","04000US25","Massachusetts",32521,1248.4137935796766,1.5899715885917727,"Boston, MA","16000US2507000","boston-ma",151200,4131,32146,1.1665526037454115,144132,4.903838148364,8.519193792601207
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2019,"2019","04000US25","Massachusetts",17222,881.4397313486613,1.4429250810244225,"Boston, MA","16000US2507000","boston-ma",162368,6991,15983,7.751986485640994,154156,5.327071278445211,4.51147121847969
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2019,"2019","04000US25","Massachusetts",6574,520.5084053115761,0.904977982582806,"Boston, MA","16000US2507000","boston-ma",135366,8174,6322,3.9860803543182532,130188,3.9773250990874733,1.7221235507075532
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2019,"2019","04000US25","Massachusetts",11172,715.5927612825607,3.0605810145139514,"Boston, MA","16000US2507000","boston-ma",113688,8101,10372,7.7130736598534515,111016,2.4068602723931685,2.9266145890637034
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2019,"2019","04000US25","Massachusetts",9521,725.2089354110303,1.425815567027114,"Boston, MA","16000US2507000","boston-ma",85791,8069,8990,5.906562847608454,90961,-5.683754576137026,2.494119003085886
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2019,"2019","04000US25","Massachusetts",7993,630.984151940443,1.8878162620911627,"Boston, MA","16000US2507000","boston-ma",205442,27671,7669,4.224801147476855,198798,3.342085936478234,2.093844469243303
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2019,"2019","04000US25","Massachusetts",26543,1112.8414082878116,1.1474427622019603,"Boston, MA","16000US2507000","boston-ma",92057,9412,26150,1.502868068833652,85894,7.175122825808556,6.953198266874139
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2019,"2019","04000US25","Massachusetts",11161,706.3037590159067,1.4457974656320933,"Boston, MA","16000US2507000","boston-ma",103650,6839,10782,3.515117788907438,96697,7.1905022906605165,2.9237330315556744
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2019,"2019","04000US25","Massachusetts",20225,893.2032243560253,1.2988947174790544,"Boston, MA","16000US2507000","boston-ma",154736,8901,18961,6.666315067770687,150972,2.4931775428556286,5.298136418171626
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2019,"2019","04000US25","Massachusetts",5762,616.0105518576772,0.7751515935092437,"Boston, MA","16000US2507000","boston-ma",106874,19276,5997,-3.9186259796564946,96491,10.760589070483258,1.5094122146603166
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2019,"2019","04000US25","Massachusetts",14158,828.1799321403531,1.1353458496049498,"Boston, MA","16000US2507000","boston-ma",60095,8188,14028,0.9267179925862561,62246,-3.4556437361436885,3.7088264726068667
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2019,"2019","04000US25","Massachusetts",25540,1314.0243528945725,1.1673542215120554,"Boston, MA","16000US2507000","boston-ma",40570,2450,24523,4.147127186722669,37437,8.368726126559286,6.6904526140965785
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2019,"2019","04000US25","Massachusetts",15692,894.9083751982658,1.0784690866972415,"Boston, MA","16000US2507000","boston-ma",50639,2766,16255,-3.4635496770224545,47230,7.217869997882702,4.110672765090192
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2019,"2019","04000US25","Massachusetts",11792,723.4092894067645,1.0985091848710307,"Boston, MA","16000US2507000","boston-ma",42956,7244,11812,-0.16931933626820184,41205,4.249484285887635,3.0890296486071596
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2019,"2019","04000US25","Massachusetts",5736,619.3876007799962,1.2806944301062844,"Boston, MA","16000US2507000","boston-ma",50160,10225,5883,-2.498725140234574,53334,-5.951175610304872,1.50260126055043
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2019,"2019","04000US25","Massachusetts",2502,376.19808611953357,0.6838892681052957,"Boston, MA","16000US2507000","boston-ma",158333,28914,2594,-3.546646106399383,156262,1.3253382140251628,0.6554233531898841
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2019,"2019","04000US25","Massachusetts",32206,1311.6173222399893,0.825897316779887,"Boston, MA","16000US2507000","boston-ma",71234,4609,31014,3.843425549751725,70421,1.1544851677766577,8.436676463962193
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2019,"2019","04000US25","Massachusetts",40599,1376.8634645454138,0.9317478773871473,"Boston, MA","16000US2507000","boston-ma",75702,4598,40526,0.18013127375018506,75038,0.8848849916042537,10.635304842588372
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2019,"2019","04000US25","Massachusetts",229,95.60334722173697,0.08870895989114275,"Boston, MA","16000US2507000","boston-ma",68479,37344,266,-13.909774436090224,50558,35.446417975394596,0.05998878812169603
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2019,"2019","04000US25","Massachusetts",10325,938.3442864961665,0.5306806647766618,"Boston, MA","16000US2507000","boston-ma",73225,17681,10784,-4.256305637982196,75301,-2.7569354988645567,2.704734660945465
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2019,"2019","04000US25","Massachusetts",4247,463.7510107805697,0.36078685020472107,"Boston, MA","16000US2507000","boston-ma",135435,59371,4141,2.559768171939145,91757,47.60181784496006,1.1125431578726772
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2019,"2019","04000US25","Massachusetts",8366,685.8950357015277,0.3829296802252167,"Boston, MA","16000US2507000","boston-ma",71022,5518,8569,-2.369004551289532,66428,6.9157584151261515,2.191555464742834
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2019,"2019","04000US25","Massachusetts",10444,764.6417461792157,0.7204515712303543,"Boston, MA","16000US2507000","boston-ma",57943,9807,9734,7.294020957468667,64276,-9.852822204244196,2.7359078739868705
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2018,"2018","04000US25","Massachusetts",40648,1272.1560438876984,1.0967627100467805,"Boston, MA","16000US2507000","boston-ma",162526,5326,41922,-3.0389771480368304,158975,2.2336845415945903,10.960381596438577
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2018,"2018","04000US25","Massachusetts",32146,1150.4803344690424,1.6306294108598853,"Boston, MA","16000US2507000","boston-ma",144132,5023,29463,9.106336761361709,136758,5.392006317729128,8.66789083839585
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2018,"2018","04000US25","Massachusetts",15983,846.518753483938,1.4205428554665311,"Boston, MA","16000US2507000","boston-ma",154156,10933,14802,7.978651533576543,151411,1.8129462192310997,4.309677697694297
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2018,"2018","04000US25","Massachusetts",6322,560.8074535881277,0.9226125317756114,"Boston, MA","16000US2507000","boston-ma",130188,11611,6121,3.2837771605946737,129501,0.5304978339935599,1.7046726149548486
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2018,"2018","04000US25","Massachusetts",10372,659.4619018563543,3.0162480511636547,"Boston, MA","16000US2507000","boston-ma",111016,9727,9531,8.823838002308257,105416,5.3122865599150035,2.79672008261811
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2018,"2018","04000US25","Massachusetts",8990,784.6177413237608,1.4019617338804216,"Boston, MA","16000US2507000","boston-ma",90961,9956,8668,3.71481310567605,88115,3.229870056176588,2.4240757368623993
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2018,"2018","04000US25","Massachusetts",7669,576.8231964822497,1.8742967375171673,"Boston, MA","16000US2507000","boston-ma",198798,27487,7318,4.796392456955452,197174,0.8236380050108026,2.067879513459148
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2018,"2018","04000US25","Massachusetts",26150,1092.469679213112,1.1699274201754635,"Boston, MA","16000US2507000","boston-ma",85894,8551,25317,3.2902792589959318,81773,5.039560735205997,7.051121303554142
